Emotion,Text
anger," Yes , I joined your group of bus tour this morning . You promised the journey will last 3 hours and we will visit 15 sightseeing spots . "
anger, Mom ! I'll wear a helmet and I'll drive sane . I promise . 
sadness,"When an uncle of mine, who was close to me, passed away after having had a stroke, before his first daughter could be named."
neutral," Oh , yes ? "
fear,"Les mecs à la sortie du metro 4 à gdn, et qui attendent que tu passes pour degainer leur toupie lumineuse  "
anger," He treats everyone pretty poorly , but the way he treats me really takes the cake ! "
joy,Going to a friend's wedding and seeing many of my old friends whom I had known before I moved to a new district five years previously.
anger,The men got resentful of the women working all hours in the co-op . 
neutral,What's wrong with him ? 
sadness, I can ’ t believe it ! I guess I ’ ll be here until ten again tonight ! 
neutral, Forgive me darling . I'm very tired . 
joy,"Welcome to my birthday party , I am so happy you can come . "
sadness," Only sometimes when I think about it , I feel very sad . "
joy,"To tell you the truth , I wasn't at all pleased about Russell sitting in the same coach with us . "
joy,I started a new branch of studies after having failed a former one.  When I got back my exam papers I was very happy to know that I almost had full marks.
sadness, I'm afraid there isn't . 
sadness,It soon developed into disillusion as the town 's death toll grew and ended in jubilant relief not unmixed with sorrow at the memory of towns-folk who would not return . 
anger,"At the hairdresser's, I got two stains of dyestuff on my new trousers. These stains are not removable, so I cannot put on the trousers again."
neutral," I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff . "
anger," I'm serious , Zina . Back off . I have a bottle of pepper spray in my pocket . "
anger, I won't be paying you for this . 
sadness,A) A documentary in which baby fur seals were being clubbed / spiked to death by Canadian sealhunters. Brutally graphic. B) Description of a disfigured orphaned child in Hiroshima calling for her mother.
neutral, A stop ! Wait for the lights to turn green . 
anger, what a bummer ! You set me up ? 
joy, But you agreed to go out with me at last . 
neutral, No . 
joy, The black ball has to be the final ball in the pockets . 
neutral, I never know when to shake hands and when not to . Can you tell me something about it ? 
fear,The of your toes about to get chopped off when you see the cutting knife slip off the bench.
joy,My friend told me he really likes me.
anger,"My mother had for some time been trying to separate me from a good friend who, she thought, was not good company for me.  Finally, at breakfast one day, we had an argument and I tried to defend my friend."
sadness,When I found that my ability to do ordinary work was worse than my fellow mates.
neutral, Now . 
joy, Were you ? your performance was excellent . 
fear,After having slept for a short time I woke up - I had the feeling of someone standing beside me and was very frightened. I had to turn on the light turn on the light for several minutes before I was able to get to sleep again.
joy, Sure . Now you are talking . 
fear,A third group of backbenchers is concerned at cross-media ownership in the new channels under the bill . 
sadness, I had a bad start of the day . I was stuck in a bad traffic jam on my way and I missed my morning meeting . 
anger,"The king was furious at being tricked again , and by nothing more than a pair of animals , at that . "
joy," Well , imagine that ! How old are you ? "
sadness,For not having succeded in getting the job as a translator that I wanted.
fear,Elaine 's voice was concerned but deep inside she hoped he would not decide to go to the party . 
neutral, sounds like he is pretty cute . What do you think of him ? 
anger,"Oh great ! This stupid computer froze again ! That's the third time today ! Hey Samuel , can you come take a look at my PC ? It's acting again . It must have a virus or something . "
anger, Trust you ! You can't even handle simple plane reservations ! 
joy,I was filled with joy when I heard that I had been selected to come here at Kamuzu College of Nursing.
neutral, I'm sorry . 
neutral, So what ? 
fear,When I woke up at night to find a fire spreading towards the bed -rooms.  I was very frightened as I realized that I faced death.
joy,It was the weekend of my homecoming. I saw my sister for the first time in 3 months. She's my best friend and extremely close.
neutral," Yeah , yeah , but today ’ s lesson was all about the creation of the universe . "
neutral," well , we'll be careful . Thanks for letting me know . "
fear,The fear of being hurt in a relationship usually causes you to stay single or fear getting attached to a person.  
fear, It must be a haunted house.Are you frightened ? 
anger,"When my aunt scolded me for something I was not responsible for.  A boy had come to our gate asking for me, my aunt went out to see him.  I had neither met nor known the boy."
fear,"Doris , I'm glad you're home . I'm terrified . I don't know what to do ! "
anger,"He made a good living , and seemed resentful of his wife 's decision to take in a lodger . "
sadness,When a close friend drowned in the American River.
sadness,Disappointed love. The girl made an end to our relationship while I thought she was in love with me.
neutral," Don ’ t worry , I can handle that . And I know if the boss is there , even it is an informal evening , it does not make a good impression to get totally drunk in front of him . "
anger, Yes . But why do I have to fill out a form anyway ? This is the emergency room . 
joy,One of the greatest joiy was when I succeded in acquiring a motorcycle through my own efforts.
sadness,"Sometimes, when I'm alone I am seized by this feeling. But it always helps me to come round and at the same time to judge if it is worth. Very often this feeling is caused to me by people - friends who I love and respect."
neutral, Yes . 
joy,Returning to school and rejoining my girlfriend after 3 months of separation from summer.
sadness,When my first girlfriend an I left each other.
sadness,Kurzlinger hated Voss for what he had done and the man 's grief for his murdered love was not to be underestimated . 
sadness," Well , I'm leaving Japan and I'm going back to London , tomorrow . "
fear,@johnnorlin  tells us that we've sacrificed more than others. tells us it's time 2 worry about the future. &#xA;&#xA;Luke 9:3
anger, They soud like the neighbours from hell ! 
anger,An exasperated Galileo was able to show up the inadequacy of his rival 's position in a characteristically witty way . 
fear,"His horrified mother made a public appeal for the return of the ring , given to her by husband Alfed 18-years ago . "
anger," Oh , you men ! You're all the same . "
neutral, Winning is a piece of cake to me . 
joy,"Mr Mitterrand appears so delighted with the ultra courteous Edouard Balladur , that some Socialists wonder whether he has at last found the prime minister of his dreams . "
fear,"I lived in a flat with a couple. The woman was so jealous of me, that she sometimes had crying fits. Eventually her husband could not stand that any more and wanted to kill me."
sadness,My uncle died in the Vietnam War.
fear, I'm afraid you are beginning to look a little overweight . You really need to stop smoking . That's the main reason you're unhealthy . 
anger,When people without my permission pry in my belongings and take things out of it.
neutral, In Boston . 
joy,When a cousin of mine was discharged from the hospital after       a long illness.  I had thought that this illness would never end.
anger,When I had an argument with my best friend and I thought that I was right and she was not.
sadness,When I had to come back from my village last Christmas.
joy, I ’ m sure I ’ ll like it here . 
anger,He looked at her with exasperation when she just gazed at him with wide deep blue eyes . 
sadness,When a colleague failed to contact me at the arranged time.
anger,"At a school dance when my supposed \best friend\"" kept walking away from me whenever I came near her."""
joy,"Isn't this lovely weather ? Will you help me water the flowers , Jack ? "
sadness," I've finished the first draft , but the professor said it's poorly written . I have to rewrite it . it's so depressing . "
anger, I am really looking forward to getting away from you . Far away from you ! 
fear,"I was travelling back home by boat with two friends of mine after a lovely holiday trip.  The night and the sea were dark, and the wind was blowing.  I feared that death was there on the boat, I somehow felt sure about it.  I feared being left alone."
joy,"The day I got to know that I would get a shared dwelling with my boyfriend.  My parents place was getting a little crowded with my growing bother wanting a room to himself.  I first felt doubt, then joy, but also sadness.  The feeling of joy was the strongest."
neutral, Do people get married young ? 
neutral," Oh I remember , I cut terrible calls , and you didn't say anything about it . "
fear,When I failed my first exam at the Higher Institute.
sadness,"He was a plodding lugubrious fellow , and we were delighted with his Wodehousian name . "
anger,"Ok , let ’ s go through this one more time . I don ’ t want anymore ruined or dyed blouses ! "
neutral, What happened ? Quarrel again ? 
neutral," Hi , Jim . "
neutral,"Do you speak only English in the class , or does your teacher explain everything to you in Spanish ? "
sadness," Oh , sorry to interrupt you . But I am calling to say goodbye to you . I am awfully sorry to tell you that I am afraid I could not see you off at the airport tomorrow , because I will have to attend a very important meeting . "
fear,The possibility of having failed the examination.
fear,"I am a \cantor\"" - I sing psalms in church. Several weeks ago I had to sing too, but the organist did not tell me in time. As I did not know the psalm, I was afraid and said that I could not sing."""
sadness,When on Christmas day my grandmother died. I received the news when I was coming back from a party on the 24th at 5 am.
sadness,When I found out that I could not go to the concert (after buying the tickets) because of a biology test which occurred the morning after.
anger,What a terrible house ! 
joy,Getting into this university.
fear, Too bad . I really like it . 
fear,Ok now im scared. . . Im the only one up in my house. . . I guess im going to sleep. . 
neutral,Who's that ? 
joy,"When I got 21/30 points in an exam of statistics. The result was unexpected and it made me realize that statistics do not surpass my abilities, as I have sometimes thought."
fear,When my relatives and I were in a car going slowly on a frozen road.
joy,"When I received the result slip of the higher level examination (an university entrance exam) and saw that I had a very good possibility of being accepted into the university, I felt very excited."
joy,"I was going to my village, after having been rather oppressed in Madrid. "
neutral," I had mine when I was 24 . that ’ s a little young . I ’ d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career . "
neutral, Sure . 
anger,The outrageous conduct of a relative towards me and those close to me.(blaming us and lying)
neutral," I also feel that work efficiency here is very high . and you have strong working ability and professional skill , it seems that you know all , that's really wonderful ! "
neutral,How are you ? 
joy,"I was \best man\"" at my brother's wedding a year ago."""
fear,When I almost fell down from some rocks because I had been acting foolishly and playing dangerously.
joy,Minton 's sober and workmanlike drawings instance his delight in registering rhythmic activity and industrial shapes . 
joy, How about a party at home ? That way we can get together and celebrate it . 
neutral, Yes . 
sadness,When another person's mother died.
anger,"I live by myself and a few weeks ago was woke by a man on the end of my bed coming up my bed at me. I was really angry, told him to get out. He was surprised, hesitated; I started to move towards him and he backed off - kept telling him - loudly, but firmly to go. Because I'd got the initiative, I succeeded. A very powerful message."
fear,Got ill.
neutral," Yes , I do . "
neutral, OK . 
sadness,Death of a pet rabbit. We had to give it away because my brother became allergic to it. We gave it to a man who kept animals and lots of other animals for children to watch. We went to visit our rabbit. It was badly beaten by the other rabbits and eventually died.
joy, Of course . But I'm afraid I'm not much of a dancer ... 
sadness,I did not like it when a little girl was crying for her dead mother and was calling her by her name.  I was sad.
joy,"As the programme of meetings rolled on , sometimes with many presentations on the same day , Horsley was exhilarated , amazed and excited . "
neutral, Yes ? 
sadness," I'm sorry , I didn't know that . But I wanna help . "
neutral, Or getting stuck in traffic jams when you ’ re driving . 
neutral, Me ! Me ! 
joy,"Receiving a very personal letter from a lady that I like, which revealed that she was more enthusiastic about me than I had thought possible."
joy,Some time ago a close relative of mine got off cheap with the worst.
fear,"Once I was very frightened at night as I had a very fearful and terrifying dream, I could not go back to sleep for a long time."
neutral," Yes , sir . "
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had."
joy,"After I had had a disappointment in my private life, my friend, who studies in Vienna, came to see me spontaneously."
fear," But , dad , it's stormy outside . "
neutral, Snipers ? 
fear," Oh , that scared me . "
sadness,"When a close friend took leave of me, because she went to Israel for one year."
fear,"Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group.  We read the names and then each group went its own way to a seminar room.  I wondered how I would cope with the new situation and if I would succeed as a group leader."
sadness,"The fact that my mother is getting married again (my mother and father divorced about 15 years ago) means that she will probably move to Turku, and our home, which is a one family house, will be sold (I myself have not been living at home for the past six years)."
neutral, It's not just that . She also criticizes how we raise the kids . 
fear,"Walking around the University at night by myself, having been previously warned of rapes, etc."
anger,The infuriated Milan Cardinal told the city governor that both the Chief of Police and the governor would be excommunicated if Landriani was not immediately released back to the convent . 
fear,"I stayed alone in the dark at night in the mountain, waiting for my uncle.  I remember that I took a big stone and it calmed me."
joy,We are very happy that the Volkswagen Tour has enabled us to welcome this renowned orchestra to the Festival for the first time . 
joy, Always . 
neutral, Right . 
sadness,When I was in lower six class during the Summer I joined a research group of the Chinese university student union.  I knew a lot of CV students there.  A year later one of them was travelling in mainland China and he got T.B.  He died a few weeks after coming back to H.K.  We all got together for the funeral and when I looked at the body for the last time I felt extremely sad.
sadness," Yes , maybe . But I like street shopping . There is more variety . I'm sorry . I just don't like malls . "
neutral, Mrs . Thou ? 
fear,I had gone for a medical check-up at the U.T.H and failed to make it back on time for the C119 practical sessions at 1400 hours last academic year.
neutral, How often ? 
fear,"Rose was excessively clinging in her behaviour and anxious when Clive was either late , as he often was , or away on an extended business trip . "
anger,"When my father made my mother go through really terrible situations, I felt furious, impotent, nervous, upset, ........"
neutral, I see . 
anger,"Uncleaniness at my work place.  The place is generally not very clean, but when it reaches a point, I get angry at the person who is supposed to clean the place and the people who are supposed to supervise him."
fear,I was on this amusement park ride at Marriots Great America. It went way up in the air and then around and around. Heights are not my favorite spots in life.
anger, How dare you question my statement ! 
anger," Well , he made quite a few mistakes on the monthly report and when his supervisor found them , my manager blamed them on me ! "
joy,When I found out that I had passed the last two exams by a margin of three marks.
sadness, No can do ... sorry . 
fear,"At the dentist's, waiting for my turn to come."
neutral, Really . 
neutral,"What do you do in your free time , Nancy ? "
fear,"wat du i fink about success? It sucks, its much stress...i guess i blew up quick....success.....JAY Z"
anger," I wanted to , but I knew that if I spoke to her , I'd just blow up at her , so I decided to just go home . I called her later that the night , but she didn't answer the phone . "
anger,Jean-Paul gave a sigh of exasperation . 
anger," No , you haven ’ t . You just don ’ t care about me . You ’ re an indifferent husband . "
joy,When my friend told me that he would come and meet me in a moment.
sadness,Death of my grandmother.
joy, Check out your mom's closet . I'll bet she still has something . 
neutral," If I were Li Na , I would ask her if she had done that . "
neutral, Haven't you heard that he is in prison ? 
joy,When I realized that I loved someone of the opposite sex.
neutral," At the beginning , it does not matter , but once someone gets one ball in , it is set . "
anger,"This time , with deepening anger on the streets over price liberalisation , the hardliners were not to forgo their chance . "
joy,"When I got a stereo walkman from my father when he had finacial difficulties. I thought that although he promised to give me that present, he was not obliged to do so."
sadness,When my grandmother died of cancer.
fear,"When I was 20 years old, I fell severely ill and was bed-ridden for 6 months.  I felt very scared for my health and my studies."
sadness,When we were on holidays my girl-friend had to leave me after 4 weeks and I had to stay in Turkey for some more weeks because I had a job there.
fear,"Walking back from the gas station me, @Brooklyns_MoKo, and Faisal saw a dog without a leash and freaked the hell out "
anger,How dare you accuse me of stealing your computer ? 
joy,What a great weekend that was ! 
anger,"Without my permission, my son had made popcorn after coming back from school.  The consequences were a spoilt kettle and chaos in the kitchen but what could have happened with the hot grease ?"
sadness,"As he was rushed to hospital , his devastated daughter Suzanne went ahead with the service -- not knowing if he would live or die . "
joy," Pretty good , thanks . I'm going to see my uncle . "
anger,I was very angry at my father when he didn't give me as much money as my brother to use for studying. Once again my brother was better off then me.
anger,"It was quite recently, at the football match between the national teams of Bulgaria and France. I felt strong anger with the Scottish referee who ran the match quite partially."
joy,"When I achieved my first 6 at University after a long string of 3's, 4's and 5's (7 is the highest mark awarded, 3 is a conceded pass)."
anger,"The Direktor felt , not for the first time , deeply resentful of the fact that they had any part in choosing the programme . "
fear,"For all those years you've protected the seed, it's time to become the beautiful flower.~S.C. Paul   "
neutral, I'm very sorry I can't . 
fear,I was bitten by a dog.
fear,"Twitter, you'll never see me run as fast again as I am from @BibiLynch right now. "
anger,When the university withdrew the accomodation that it had given me.
anger,It was necessary to organise a competition in connection with a celebration. Everyone was to be present at that event. It turned out that there was no audience at all because everyone had pretended to be very intelligent and no one had come. I got furious.
joy,"The final marks were to be given in the morning.  I wanted to get there late because I was very afraid.  When I arrived there, everybody was very happy and I had also passed.  We had a wonderful time all day long."
anger, That's not nice . 
anger, It costs more than you think to run a car---especially when there are so many things wrong with it ! 
joy,"Hi , Monica , congratulations ! Your presentation at the meeting was very successful and everyone was impressed by your speech . And it was so persuasive and I bet our clients will be convinced to invest their money in this project . You really made a big contribution to our company . "
joy,"I remember my religious experience.  During  a gospel camp, a few friends of mine decided to believe in God.  The joy that I felt at that time was more than words can express.  I blessed them and praised God in my heart."
neutral,"Hey , Mary , what's up ? "
joy,Getting into this university to do medicine.
neutral,Here's the restaurant we're meeting the Smiths at . 
joy,"A surge of elation rushed through his body as he read the note for the third time , unable to believe the implications of what he was reading . "
fear,"When I asked if they could make me an identical one trimmed with black fur and beading instead , they were horrified but they agreed in the end . "" "
anger, I've been with this firm for 26 years and I'd hate to see it go down the drain due to poor leadership skills . 
anger,"` No , better to limit the damage , control his anger , make nothing of it , pretend he didn't mind . "
sadness,To fight with a sister and to know that she doesn't care.
joy,"I was joyful when I received a present (2 books and a pencil) from the headmaster in standard 6 because I had passed, I became No 1 and he said I was one of the pupils who had good behaviour."
anger," Yes , but you might have told me before . "
sadness,"In their communiqu , the finance ministers could usefully point out that the current despair  over eastern Germany is overdone . "
fear,When I was 12 years old I frequently was pursued by others and got sound thrashes.
anger,"We hitch hiked our way back from a town rather drunk.  We were dropped in another town which was unknown to us.  I needed to urinate, so I did it on a wall which turned out to belong to the military headquarters.  They arrested me and made me pay a fine of 500 pts.  We had to go home on foot (6 km) since it was too late for anyone to give us a lift."
anger,I was angry at a University tutorial when an ignorant loudmouth persisted in trying to dominate the conversation.
sadness,"At first I could not understand -- but then when she had , whispering , explained properly , I was filled with a desolate , despairing horror . "
neutral, August 1st . 
sadness,It was the kind of life that ` was making life miserable in the extreme for her and since I felt responsible for her it was making me miserable too . 
neutral, OK . 
anger,"One day my elder brother badly scolded my father.  This was the first time that I heard such abusive language from my brother.  I requested him humbly not to use this kind of language but he did not care for what I was saying.  Finally I picked up an axe to use against him, in the meanwhile people intervened."
joy, Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call . 
sadness, But it still hurts . I thought I loved him . 
anger,"The comrade staying next doors insulted me for what he called  the misuse of his iron.  He called me stupid, self centered etc.  I wanted to punch him but instead went for a walk to the mining school to cool off."
joy, You too.Thanks for dropping in . 
joy," OK , how about 12:30 PM ? "
sadness,My boyfriend decided to make an end to our relationship.
anger,One of my first boyfriends got mad at me because a lot of my close friends were guys and he didn't want me to see them anymore because he was jealous.
sadness,When a pet died. The pet was the closest friend I had for 15 years.
sadness,"I was on my way back from the Inter Rail, on board the ferry from Stockholm when my father called me at 7 o'clock to tell me that my uncle had died and that I would be seeing him off on his final journey within four days."
anger,Erika stamped her foot in vexation . 
joy,When I got married.
neutral, Sure . 
sadness, We got lost coming back . I guess I don't really know this town yet . 
neutral, Tarzan . 
fear,When the doctor told me that there was something wrong with my eye and I had to undergo an operation.
fear,Every time I see a spider or a snake.
anger,"A certain man went to my parents and told them that I was married here, when I am here at school. When I went home for holidays my parents asked me about it and I was angry with that man."
joy,"On a sailing boat at night, under a full moon, listening to Pink Floyd, drinking good wine, with good company, the boat being steered by autopilot, and a full eclipse of the moon."
anger,A nuisance used to live in our flat a month ago. I experienced this feeling when I tried to chase her out.
neutral, When will the lecture begin ? 
fear,She voiced her disquiet and Ana laughed . 
fear,After a short stay in Marocco we missed the ferry-boat back to Spain and we had to look for an accomodation. By chance we met a man who offered to take us to a camping site. While I was sitting in his car I was terribly afraid because I had heard of people being robbed in Marocco.
joy,Lesley was totally happy about it . 
sadness,When I got divorced from my husband after ten years of marriage.
sadness,When my mother was operated.
sadness,Death of the family dog.
sadness,"I was at home alone when I realized that a young roe approached our house. I hid because I did not want to frighten it. It limped. Some time later, when I thought that it had already run away, I saw it lying on our terrace. I came nearer and saw that it was terribly wounded. I informed the ranger who said that the roe must have been attacked by dogs. He had to shoot it."
joy,When I passed the first year and so I could come back for my second year.
sadness,"Very likely he was simply lying on his bed in a state of dejection and , perhaps , of remorse for his massacre of "" the possessions "" which was now generally thought not to have been necessary . "
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me.
sadness, We're sorry you have to leave . 
neutral, Mr . : Yes ? 
neutral, Why not ? 
joy,When I spoke to my daughter and wished her luck for the examinations she was about to take.
anger, I don't care . 
joy, What is the weather like in Washington at this time of this year ? 
anger,She didn't look quite so indignant as she 'd looked before . 
sadness," Okay , I'll be right back ... Congratulations ! The manager approved the final price $ 15,000 . "
fear,The priest became agitated . 
fear,"@notMarcStaal I'd offer to do a strip tease, but my wife is currently hormonal and might kill me. "
sadness,Insulted by my mother.
joy, So Barb ... what do you do ? 
fear,An agitated old lady addressed Ramsey severely and asked why he did not go back to his own country and do good there instead of stirring up trouble in the United States . 
joy,When I succeed in writing something I felt and doing it I felt well and very happy for being able to express to myself something that was suffocating me.
anger, Are you kidding me ? 
neutral, Critics are not very happy with the movies that you ’ Ve made recently . Does that bother you ? 
joy,"The sense of joy comes to me always after a period of depression, as an organic feeling for an upsurge. I don't exclude the situative feeling but in this case the reason is not in me, it's out of me."
joy, That makes sense . I think I'll do that . Thanks for all the help . 
sadness,It happened that I was alone - with no contacts with friends.
sadness,Not being chosen for the English lectures (my girl-friend chosen).
anger,When my partner was attacked and lost three teeth.
joy,Her face lit up with a delighted smile as she gazed at an abandoned plate of half-eaten sandwiches on a nearby table . 
fear,When my son has a pain in his leg (for no apparent reason).  
fear,When I was going to bring back my girlfriend to LA to meet my parents.
neutral, Thanks . 
fear,After having taken an exam i feared having failed it.
joy,I went to a doctor with a complaint. The doctor told me that I was completely healthy.
joy,"Nevertheless , no writer , however self-sufficient , writes without a thought of an audience , and Tolkien was happy to discover anyone who could appreciate what he was up to . "
anger, I've already suffered enough without listening anymore to you ! 
neutral," Having a regular study routine and following it is very important , right ? "
sadness,"I felt very sad when I had to give up something that by right was mine and although I didn't get it, a kind of souvenir that people don't give you the right to have."
sadness," I'm sorry sir , this flight has been cancelled due to some mechanical problems . "
joy,"I have been sent a Leeds United 1993-94 squad picture from the Evening Post and this now adorns my office wall , much to the amusement of my colleagues . "
fear,Kendall-Hume turned back to face the dismayed couple . 
neutral, I would very much enjoy taking a Psychology class.Because I'm crazy . 
joy," And I was overwhelmed by this scene , too . "
neutral, April fool ! 
sadness,"The happy melody of Morning has Broken followed , but the sadness of family and friends choked many of the words . "
neutral, What place ? 
anger,"Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know.  They had despised her conviction, scorned and touched her.  I got very angry and did not try to conceal it and gave it back to them."
sadness,My friend still trusts me as a friend.
fear,"After going through a glass door, I sustained a number of serious cuts which were gaping open."
neutral,Hi . 
joy,When some friends of mine asked me to go camping with them for a fortnight.
sadness,When I am with a friend and we have to leave each other.
joy,Ellen gave me an amused glance . 
fear,@myfoxla you are reporting on the basis of please stop trying to place #fear into viewers. It's uncool. #occupyla #ows
anger,I was angry this morning when I missed the train to university.
sadness,"I love her so much , you know . I want to be alone . Please keep quiet . "
joy, Where are you from ? 
joy,I had a friend who I didn't see for a long time. We had a relationship from much union and interaction. It was more that one year that I didn't see her. She appeared in my home and we talked.
anger,You ’ re making my blood boil . 
sadness," No , ma'am . I ’ m afraid you put in only one quarter and one dime . "
neutral," Come on ! A little labor , much health . "
neutral,The mosquitos are biting me ! 
anger,"I've something very unpleasant to talk with you . Upon the arrival of the first consignment , it was found that about 50 % of the sixty cases of pineapples were leaking . "
neutral, Oh ! ! My car isn't working . I'm waiting for a tow-truck . 
joy,When Wayne and Sue (close friends) were announced our guardians at ther wedding.
fear,Strictly avoid frightening ideas 
sadness,"Hello , Kevin . I hate to do this , but I have to cancel our appointment . "
sadness,"Katherine could feel his anguish , and for the second time that day the tears slid down her cheeks . "
fear,"The fear about my future : work, making ends meet and health. Coping."
anger,"I lent a text-book to a person I did not know very well, they lost the text-book and gave me no compensation."
anger,"A drunken friend of mine was beating up another friend, who was also drunk."
neutral, Yes . 
neutral, Thanks . Lovely day . Pity I ’ m on duty . 
anger,Finding an excuse is obviously down your alley . And trying to avoid taking care of the children is what you are good at . 
sadness,When the girl I loved turned me down.
neutral, I will . 
anger,The patient whom I expected to get well suddenly passed away after he showed had his meals.
neutral, You mean 30 push-ups ? 
neutral, Thank you . 
sadness, Poor old John ! I am ever so sorry . 
joy,Passing a very difficult examination which I didn't expect - MCE.
neutral, I think I've caught a cold . Now I'm aching all over . 
fear,@pathien selon doctissimo le verdict est sans appel: cancer du cerveau !! 
sadness,"My friend has to go on field trips, he just told me."
anger,With self at losing an important game that I should have won.
joy,We grew more and more excited . 
sadness,YEOVIL TOWN captain Mark Shail was heartbroken last night over the rash moment which may cost him the chance of playing in the dream FA Cup tie against Arsenal . 
fear,"Years ago, on my way to school by the forest path I came across an exhibitionist."
neutral," Sometimes it takes too long to find the exact information you are looking for . Besides , I like to read a magazine in a coffee bar sometimes . "
sadness, It must be dreadful to grow old . 
sadness,When my girlfriend left me.
neutral, About ten years so far . I started learning when I was in middle school . 
anger, I don't want to argue anymore . Please get out of my life ! 
sadness,I felt sad when I heard that my girlfriend was double-crossing me with the boy who is my best friend.
sadness," Sorry , sir . We have never done that before . "
neutral, of course . There ’ s always much to learn . I got to know more about the real world . 
anger,"A friend of mine uses butter instead of oil when he is cooking. I am always angry about that, because it is an unnecessary luxury. Recently we both were cooking and he wanted to use butter again. When I had already put the oil into the pan, he poured it out again and put the butter into the pan."
joy,"An encounter with a man whom I love, after a very long separation."
neutral, OK . 
neutral, What ’ s the score ? 
fear, Don't look so horrified ! 
anger," What does a CEO do anyway ? I know the CEO makes the most money in the company , but what does he actually do ? "
neutral," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
anger,No wonder Superintendent Miller had become exasperated . 
neutral, I see . 
fear," Ah , thanks . "
joy,"Henry Tyler would not have described her as a happy woman , but afterward he could not say that she had seemed at all unwell . "
neutral, I will be all right soon . I was terrified when I watched them fall from the wire . 
sadness,My father left us for another woman.
fear,Almost had a bicycle accident.
sadness,She looked into his eyes and saw terrible pain and inconsolable grief . 
anger,I locked myself out.
fear,"In Sweden, a friend and I lived in an appartment owned by a Finn.  One day, this man came back to the appartment heavily drunk (hashish and alcohol).  He was quite dizzy and he broke down, and I could not foretell his reactions.  However, nothing happened."
anger,Sometime back another girl who was in terms with my ex-boyfriend came to shout at me at twelve midnight. It was because she thought I was still interested in the boy.
sadness,This issue worried me rather than saddening me.  In mid September I went to Guanggho alone.  I was looking for an accomodation in the evening and after having walked 2 or 3 miles I still could not find anything.  What could I do?  I was not worried about sleeping on the streets but because of some procedural problems.  I finally found a place to sleep at 8 o'clock.
fear,Almost always when I go to fetch the results of an exam.
joy,When I obtained good marks in a subject I had failed before.
anger,"One night I could not practise my violin as my family was watching T.V with the lights off, so I wanted to listen to some tapes.  It was dark so I asked my brother to bring me a torch, however he scolded me.  I was so angry that I slammed my violin on the floor."
joy,"When I won the \Under 18\"" Showjumping at the Brookfield Show. The competition was very stiff and there were many riders competing."""
fear,When armed robbers broke into our house at night.
fear,"Sleeping alone in a tent, while hearing several noises such as rustling etc, I am afraid that there are people who are up to no good."
sadness,"A person I really like left for overseas for a few months, I had hoped to go out with her soon."
sadness,"Some real research , I suggest , is needed into a condition which , though frequently rib-tickling in retrospect , causes widespread anguish at the time . "
sadness,I was very sad when I heard that my uncle had passed away untimely at home.
anger,"I felt anger when I saw that I was being misleaded by my boyfriend, he went out with other girls. I felt anger for his falsity."
neutral, Thanks . 
neutral, Not always . Sometimes we don't understand her . Then she has to repeat what she said . 
neutral, Maybe you're right . I have been too lazy lately . 
fear,"While Grant was wakening the kids , he discovered to his dismay that most of the cubicles held four occupants , sleeping in bunk beds . "
anger,Failed to be elected to be a class leader.
anger, I don't buy a story . 
fear,Resist Launch out into the deep!
sadness," You don't have to keep saying that , Yuri . It's not your fault.But me--I'm the one who should be sorry.It was me who suggested operations here in the first place ! Oh , what can we do ? "
fear,Polanski had received notices of similar disquiet over his films . 
neutral, Two carats . 
anger, Good heavens ! Don't bring that frog in the house . 
fear,Speaking in front of a large group of people.
sadness,"Their mother died a month later , heartbroken by the loss of her mate . "
neutral, The heart ! 
fear,"In Washington there was understanding , but just as much disquiet about British Defence policy . "
fear,"Before I went to the urologist's I was afraid for several reasons: because it was for the first time, because the medical check-up might be painful, because of the uncertainty and because someone had informed me about it."
neutral, Not a bit . 
fear,"During one year my mother almost had a nervous breakdown and my father had a serious operation. I was afraid that our family (4 kids, I'm the oldest) wouldn't hold together. Everything turned out fine."
neutral, No way ! 
neutral, Nothing . 
sadness,Iqam chosen for your lecture and my best friend is not. Now he is angry with me and I cannot help him.
fear, I know for sure that something is wrong ! 
anger,"When, after having cleaned up the kitchen, two hours later I saw that there was a big mess. It irritated me very much."
anger,"I really don't know how to break this to you , but it ’ s eating me alive ! "
fear,"Feeling a little frightened of the dead body behind him in the cart , and depressed by the autumn fog , he stopped for some beer at a pub , where he met Jan Coggan and Laban Tall . "
neutral, So what ? 
neutral, Good . 
joy,"When I went to a job interview, I met a person who was very nice, and his attitude made me glad."
neutral, Bye . 
anger, Damn ! 
sadness,When my grandfather died.
neutral, Yes . 
fear,"The alarmed Hungarians initially kept this threat to themselves , but have since raised the issue in private both within the Warsaw Pact and with certain Western governments . "
